0,15,2000
15,30,2000
30,45,2000
45,100,2000
100,115,2000
115,130,2000
130,145,2000
145,200,2000
200,215,2000
215,230,2000
230,245,2000
245,300,2000
300,315,2000
315,330,2000
330,345,2000
345,400,2000
400,415,2000
415,430,2000
430,445,2000
445,500,2000
500,515,2000
515,530,2000
530,545,2000
545,600,2000
600,615,2000
615,630,2000
630,645,2000
645,700,2000
700,715,2000
715,730,2000
730,745,2000
745,800,2000
800,815,2000
815,830,2000
830,845,2000
845,900,2000
900,915,2000
915,930,2000
930,945,2000
945,1000,2000
1000,1015,2000
1015,1030,2000
1030,1045,2000
1045,1100,2000
1100,1115,2000
1115,1130,2000
1130,1145,2000
1145,1200,2000
1200,1215,2000
1215,1230,2000
1230,1245,2000
1245,1300,2000
1300,1315,2000
1315,1330,2000
1330,1345,2000
1345,1400,2000
1400,1415,2000
1415,1430,2000
1430,1445,2000
1445,1500,2000
1500,1515,2000
1515,1530,2000
1530,1545,2000
1545,1600,2000
1600,1615,2000
1615,1630,2000
1630,1645,2000
1645,1700,2000
1700,1715,2000
1715,1730,2000
1730,1745,2000
1745,1800,2000
1800,1815,2000
1815,1830,2000
1830,1845,2000
1845,1900,2000
1900,1915,2000
1915,1930,2000
1930,1945,2000
1945,2000,2000
2000,2015,2000
2015,2030,2000
2030,2045,2000
2045,2100,2000
2100,2115,2000
2115,2130,2000
2130,2145,2000
2145,2200,2000
2200,2215,2000
2215,2230,2000
2230,2245,2000
2245,2300,2000
2300,2315,2000
2315,2330,2000
2330,2345,2000
2345,2400,2000
